Fecha	P (mm)	T max (ºC)	Tmin (ºC)	site
01/10/1975	0.00	26.00	10.00	Donana
02/10/1975	0.00	27.00	10.00	Donana
03/10/1975	0.00	30.00	9.00	Donana
04/10/1975	0.00	30.00	16.00	Donana
05/10/1975	0.00	29.00	17.00	Donana
06/10/1975	0.00	30.00	16.00	Donana
07/10/1975	0.00	29.00	16.00	Donana
08/10/1975	0.00	30.00	16.00	Donana
09/10/1975	0.00	24.00	15.00	Donana
10/10/1975	0.00	28.00	14.00	Donana
11/10/1975	0.00	26.00	15.00	Donana
12/10/1975	0.00	27.00	15.00	Donana
13/10/1975	4.00	24.00	14.00	Donana
14/10/1975	0.00	23.00	15.00	Donana
15/10/1975	0.00	23.00	14.00	Donana
16/10/1975	0.00	20.00	15.00	Donana
17/10/1975	0.00	21.00	10.00	Donana
18/10/1975	0.00	20.00	12.00	Donana
19/10/1975	0.00	20.00	11.00	Donana
20/10/1975	0.00	21.00	13.00	Donana
21/10/1975	0.00	26.00	9.00	Donana
22/10/1975	0.00	28.00	10.00	Donana
23/10/1975	0.00	28.00	8.00	Donana
24/10/1975	0.00	27.00	8.00	Donana
25/10/1975	0.00	28.00	9.00	Donana
26/10/1975	0.00	26.00	9.00	Donana
27/10/1975	0.00	23.00	9.00	Donana
28/10/1975	0.00	24.00	8.00	Donana
29/10/1975	0.00	28.00	14.00	Donana
30/10/1975	0.00	28.00	12.00	Donana
31/10/1975	0.00	27.00	11.00	Donana
01/11/1975	0.00	21.00	12.00	Donana
02/11/1975	0.00	20.00	12.00	Donana
03/11/1975	0.00	21.00	11.00	Donana
04/11/1975	0.00	22.00	10.00	Donana
05/11/1975	0.00	21.00	7.00	Donana
06/11/1975	0.00	21.00	7.00	Donana
07/11/1975	0.00	21.00	8.00	Donana
08/11/1975	0.00	20.00	5.00	Donana
09/11/1975	0.00	19.00	2.00	Donana
10/11/1975	0.00	18.00	2.00	Donana
11/11/1975	0.00	19.00	2.00	Donana
12/11/1975	0.00	20.00	6.00	Donana
13/11/1975	0.00	19.00	7.00	Donana
14/11/1975	0.00	24.00	10.00	Donana
15/11/1975	0.00	30.00	6.00	Donana
16/11/1975	0.00	30.00	9.00	Donana
17/11/1975	0.00	20.00	8.00	Donana
18/11/1975	0.00	19.00	8.00	Donana
19/11/1975	0.00	18.00	0.00	Donana
20/11/1975	0.00	20.00	-1.00	Donana
21/11/1975	0.00	18.00	12.00	Donana
22/11/1975	0.00	15.00	10.00	Donana
23/11/1975	0.00	16.00	5.00	Donana
24/11/1975	5.00	18.00	6.00	Donana
25/11/1975	0.00	19.00	5.00	Donana
26/11/1975	0.00	18.00	3.00	Donana
27/11/1975	5.00	18.00	4.00	Donana
28/11/1975	3.00	20.00	6.00	Donana
29/11/1975	0.00	16.00	1.00	Donana
30/11/1975	0.00	15.00	1.00	Donana
01/12/1975	0.00	19.00	2.00	Donana
02/12/1975	0.00	18.00	3.00	Donana
03/12/1975	0.00	18.00	2.00	Donana
04/12/1975	0.00	13.00	4.00	Donana
05/12/1975	0.00	16.00	5.00	Donana
06/12/1975	0.00	15.00	3.00	Donana
07/12/1975	0.00	18.00	4.00	Donana
08/12/1975	0.00	19.00	3.00	Donana
09/12/1975	0.00	21.00	4.00	Donana
10/12/1975	11.00	19.00	0.00	Donana
11/12/1975	10.00	15.00	-1.00	Donana
12/12/1975	27.00	15.00	-1.00	Donana
13/12/1975	50.00	16.00	-2.00	Donana
14/12/1975	0.00	15.00	-3.00	Donana
15/12/1975	47.00	11.00	1.00	Donana
16/12/1975	0.00	14.00	-1.00	Donana
17/12/1975	27.00	19.00	3.00	Donana
18/12/1975	0.00	18.00	2.00	Donana
19/12/1975	0.00	17.00	4.00	Donana
20/12/1975	0.00	17.00	1.00	Donana
21/12/1975	0.00	18.00	-1.00	Donana
22/12/1975	0.00	15.00	0.00	Donana
23/12/1975	0.00	16.00	-2.00	Donana
24/12/1975	0.00	16.00	-2.00	Donana
25/12/1975	0.00	16.00	-3.00	Donana
